notebook_id,relative_path,folder,filename,size_bytes
18_spectral_memory_low_rank_operator,18_spectral_memory_low_rank_operator/figures/18_corrected_two_step_operator_rank_1.png,figures,18_corrected_two_step_operator_rank_1.png,54797
18_spectral_memory_low_rank_operator,18_spectral_memory_low_rank_operator/figures/18_corrected_two_step_operator_rank_2.png,figures,18_corrected_two_step_operator_rank_2.png,46191
18_spectral_memory_low_rank_operator,18_spectral_memory_low_rank_operator/figures/18_corrected_two_step_operator_rank_3.png,figures,18_corrected_two_step_operator_rank_3.png,48681
18_spectral_memory_low_rank_operator,18_spectral_memory_low_rank_operator/figures/18_corrected_two_step_operator_rank_4.png,figures,18_corrected_two_step_operator_rank_4.png,48524
18_spectral_memory_low_rank_operator,18_spectral_memory_low_rank_operator/figures/18_cumulative_residual_energy.png,figures,18_cumulative_residual_energy.png,58641
18_spectral_memory_low_rank_operator,18_spectral_memory_low_rank_operator/figures/18_empirical_two_step_operator_heatmap.png,figures,18_empirical_two_step_operator_heatmap.png,47909
18_spectral_memory_low_rank_operator,18_spectral_memory_low_rank_operator/figures/18_markov_predicted_two_step_operator_heatmap.png,figures,18_markov_predicted_two_step_operator_heatmap.png,54680
18_spectral_memory_low_rank_operator,18_spectral_memory_low_rank_operator/figures/18_predictive_error_vs_memory_rank.png,figures,18_predictive_error_vs_memory_rank.png,87570
18_spectral_memory_low_rank_operator,18_spectral_memory_low_rank_operator/figures/18_real_vs_shuffle_residual_norm.png,figures,18_real_vs_shuffle_residual_norm.png,45042
18_spectral_memory_low_rank_operator,18_spectral_memory_low_rank_operator/figures/18_real_vs_shuffle_top_singular_value.png,figures,18_real_vs_shuffle_top_singular_value.png,47152
18_spectral_memory_low_rank_operator,18_spectral_memory_low_rank_operator/figures/18_remaining_residual_after_rank_1.png,figures,18_remaining_residual_after_rank_1.png,50626
18_spectral_memory_low_rank_operator,18_spectral_memory_low_rank_operator/figures/18_remaining_residual_after_rank_2.png,figures,18_remaining_residual_after_rank_2.png,61548
18_spectral_memory_low_rank_operator,18_spectral_memory_low_rank_operator/figures/18_remaining_residual_after_rank_3.png,figures,18_remaining_residual_after_rank_3.png,56799
18_spectral_memory_low_rank_operator,18_spectral_memory_low_rank_operator/figures/18_remaining_residual_after_rank_4.png,figures,18_remaining_residual_after_rank_4.png,56277
18_spectral_memory_low_rank_operator,18_spectral_memory_low_rank_operator/figures/18_residual_singular_value_spectrum.png,figures,18_residual_singular_value_spectrum.png,64657
18_spectral_memory_low_rank_operator,18_spectral_memory_low_rank_operator/figures/18_residue_projection_memory_mode_1.png,figures,18_residue_projection_memory_mode_1.png,58221
18_spectral_memory_low_rank_operator,18_spectral_memory_low_rank_operator/figures/18_residue_projection_memory_mode_2.png,figures,18_residue_projection_memory_mode_2.png,65645
