notebook_id,relative_path,folder,filename,size_bytes
19_operator_dynamics_validation,19_operator_dynamics_validation/figures/19_eigenvalue_magnitude_spectra.png,figures,19_eigenvalue_magnitude_spectra.png,88386
19_operator_dynamics_validation,19_operator_dynamics_validation/figures/19_generated_sequence_one_step_l1_error.png,figures,19_generated_sequence_one_step_l1_error.png,62860
19_operator_dynamics_validation,19_operator_dynamics_validation/figures/19_generated_sequence_triple_distribution_js.png,figures,19_generated_sequence_triple_distribution_js.png,63599
19_operator_dynamics_validation,19_operator_dynamics_validation/figures/19_generated_sequence_two_step_l1_error.png,figures,19_generated_sequence_two_step_l1_error.png,61117
19_operator_dynamics_validation,19_operator_dynamics_validation/figures/19_mixing_distance_vs_steps.png,figures,19_mixing_distance_vs_steps.png,77203
19_operator_dynamics_validation,19_operator_dynamics_validation/figures/19_mode_ablation_js_divergence.png,figures,19_mode_ablation_js_divergence.png,71072
19_operator_dynamics_validation,19_operator_dynamics_validation/figures/19_mode_ablation_l2_error.png,figures,19_mode_ablation_l2_error.png,64048
19_operator_dynamics_validation,19_operator_dynamics_validation/figures/19_mode_projection_across_windows.png,figures,19_mode_projection_across_windows.png,147347
19_operator_dynamics_validation,19_operator_dynamics_validation/figures/19_residue_projection_memory_mode_1.png,figures,19_residue_projection_memory_mode_1.png,62889
19_operator_dynamics_validation,19_operator_dynamics_validation/figures/19_residue_projection_memory_mode_2.png,figures,19_residue_projection_memory_mode_2.png,63019
19_operator_dynamics_validation,19_operator_dynamics_validation/figures/19_residue_projection_memory_mode_3.png,figures,19_residue_projection_memory_mode_3.png,63733
19_operator_dynamics_validation,19_operator_dynamics_validation/figures/19_residue_projection_memory_mode_4.png,figures,19_residue_projection_memory_mode_4.png,62919
19_operator_dynamics_validation,19_operator_dynamics_validation/figures/19_spectral_gap_comparison.png,figures,19_spectral_gap_comparison.png,58091
19_operator_dynamics_validation,19_operator_dynamics_validation/figures/19_windowed_spectral_rank_requirement.png,figures,19_windowed_spectral_rank_requirement.png,93968
19_operator_dynamics_validation,19_operator_dynamics_validation/data/19_dataset_summary.csv,data,19_dataset_summary.csv,177
19_operator_dynamics_validation,19_operator_dynamics_validation/data/19_eigenvalue_magnitudes.csv,data,19_eigenvalue_magnitudes.csv,965
19_operator_dynamics_validation,19_operator_dynamics_validation/data/19_empirical_two_step_operator_P2.csv,data,19_empirical_two_step_operator_P2.csv,1309
19_operator_dynamics_validation,19_operator_dynamics_validation/data/19_generated_sequence_validation.csv,data,19_generated_sequence_validation.csv,752
19_operator_dynamics_validation,19_operator_dynamics_validation/data/19_interpretation_summary.csv,data,19_interpretation_summary.csv,341
19_operator_dynamics_validation,19_operator_dynamics_validation/data/19_markov_two_step_operator_P2.csv,data,19_markov_two_step_operator_P2.csv,1311
19_operator_dynamics_validation,19_operator_dynamics_validation/data/19_mixing_curves.csv,data,19_mixing_curves.csv,5348
19_operator_dynamics_validation,19_operator_dynamics_validation/data/19_mode_ablation_summary.csv,data,19_mode_ablation_summary.csv,846
19_operator_dynamics_validation,19_operator_dynamics_validation/data/19_mode_interpretation_summary.csv,data,19_mode_interpretation_summary.csv,392
19_operator_dynamics_validation,19_operator_dynamics_validation/data/19_spectral_summary.csv,data,19_spectral_summary.csv,1020
19_operator_dynamics_validation,19_operator_dynamics_validation/data/19_transition_operator_P.csv,data,19_transition_operator_P.csv,1327
19_operator_dynamics_validation,19_operator_dynamics_validation/data/19_two_step_delta_operator.csv,data,19_two_step_delta_operator.csv,1437
19_operator_dynamics_validation,19_operator_dynamics_validation/data/19_windowed_mode_projections.csv,data,19_windowed_mode_projections.csv,2301
19_operator_dynamics_validation,19_operator_dynamics_validation/data/19_windowed_rank_requirements.csv,data,19_windowed_rank_requirements.csv,632
19_operator_dynamics_validation,19_operator_dynamics_validation/docs/19_interpretation_summary.md,docs,19_interpretation_summary.md,1000
19_operator_dynamics_validation,19_operator_dynamics_validation/tex/19_operator_dynamics_validation_summary.tex,tex,19_operator_dynamics_validation_summary.tex,937
